Company,Location ,Title,Name ,Focus,Experience,,,,,,,,,,,,
,Beijing,Managing Director,Zhen She,,"Joined in 2014.  Ex WP.  Australian, limited China exp.  Mandarin very average…",,,,,,,,,,,,
,Beijing,Executive Director,Justin Hu,,"Stanford MBA, ex CICC",,,,,,,,,,,,
,Beijing,Executive Director,Sherman Tan,,"Joined in 2018, ex CITIC PE",,,,,,,,,,,,
,Beijing,Vice President,Rundong Wang,,ex Hopu,,,,,,,,,,,,
,Beijing,Vice President,Stefanie Ma,,"Joined in 19, ex CITIC Capital",,,,,,,,,,,,
,Beijing,Associate,David Dong,,Left for L Catteron,,,,,,,,,,,,
,Beijing,Associate,Jayson Ji,,Ex MS Huaxin,,,,,,,,,,,,
,Beijing,Associate,Eric Zhang,,Ex BAML,,,,,,,,,,,,
,Beijing,Analyst,Gavin Zhang,,Joined in 2016. Ex MS BJ. Left for Boyu in 18,,,,,,,,,,,,
,Beijing,Associate,Haoming Chang,,VIP. Ex Apollo Acuquistion US,,,,,,,,,,,,
,Beijing,Vice President,Harry Sun,HC,"Left to join Hillhouse HC PE team, from GS NY.  Born in 1981",,,,,,,,,,,,
,Beijing,Associate,Jason Yang,,Joined after his MBA from Chicago in 2016.  Ex Pinebridge Investment in Shanghai,,,,,,,,,,,,
,Beijing,Associate,Max Zuo,,moved to blue pool,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Anchor,Hong Kong ,Managing Director,Justin Wang,,,,,,,,,,,,,,
,Hong Kong ,Director,Yawei Wang,,,,,,,,,,,,,,
,Hong Kong ,Associate,Ethan Wu,,"Joined in 21, ex Citi",,,,,,,,,,,,
,Hong Kong ,Associate,Allen Chen,,"Joined in 21, ex Citi",,,,,,,,,,,,
,Hong Kong ,Analyst,David Zhao,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Apax Partner,Shanghai,Partner,Richard Zhang,Consumer,Joined in 2008. Ex McK,,,,,,,,,,,,
,Hong Kong,Principal,Irene Liu,Consumer,Left in 2022 to Shanghai Joined in 2009. Ex MS M&A. Ex McK,,,,,,,,,,,,
,Shanghai,Principal,Christine Ma,,Joined in 03/18. Ex Permira,,,,,,,,,,,,
,Hong Kong,Vice President,George Jiao,,Left in 2021 to join Vitruvian Partners in SHA as Director. Joined in 2012. Ex ML. Ex Citi,,,,,,,,,,,,
,Shanghai,Principal,Xiaoqing Qin,,Joined 11/15. Ex MS,,,,,,,,,,,,
,Shanghai,Senior Associate,Christina Lu,,Joined in 04/18. Ex Citi. ,,,,,,,,,,,,
,Shanghai,Associate,Ruolei Wang,,"Joined in 2019, ex MS",,,,,,,,,,,,
,Shanghai,Senior Analyst,Leon Wu,,"Left in 2022 to join Skycus. Joined in 18, ex PWC",,,,,,,,,,,,
,Shanghai,Research Analyst,Keren Jin,,Joined in 19. Ex H&Q,,,,,,,,,,,,
,Shanghai,Research Analyst,Jacky Wen,,Joined in 20. Ex China RMB fund,,,,,,,,,,,,
,Shanghai,Research Analyst,Victor X,,"Joined in 19, ex Estin & Co. Went to a BJ RMB Fund",,,,,,,,,,,,
,Shanghai,David Xu,David Xu,Tech &Telco,Rejoin in 12 after BSCHL. Ex UBS,,,,,,,,,,,,
,Shanghai,Associate,Stanley Wu,,"Joined 09/15, Ex JPM. EAL Placed",,,,,,,,,,,,
,Shanghai,Associate,Jackson Wei,,"Joined in 2018, ex MS. Moved to HK to do TMT IPO Advisory firm",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ex Apollo,Hong Kong,Principal,Jonathan Su,"Industrial, insurance, NR","Promoted to Principal in Jul 2018. ex MS TMT, in Apollo very focus on Auz and SG market. Has done two complicated deal. One is service company 800m, one is in insurance. Taiwanese, born in US, LA. Can speak read chinese, GF is korean, wants to stay in Asia. Considering PE more than HF. current on 800K. ",,,,,,,,,,,,
Apollo,Hong Kong,Principal,Jack Chen,Real Estate,,,,,,,,,,,,,
,Hong Kong,Associate,Mingxiao Chen,Real Estate,Joined in 19,,,,,,,,,,,,
,Hong Kong ,Associate,Hellen Wu,PE,"Joined in 20, ex MS IBD",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ares,Shanghai,Senior Partner,Sean Xing He,,ex Carlyle,,,,,,,,,,,,
,Shanghai,Partner,Steven Sun,,ex AIG,,,,,,,,,,,,
,Shanghai,Partner and Head of PE China,George He,,ex Carlyle,,,,,,,,,,,,
,Shanghai,Managing Director,Nina Sui,,ex 3i,,,,,,,,,,,,
,Shanghai,Principal 1,Natasha Yang,,ex NY office,,,,,,,,,,,,
,Shanghai,Vice President,Rebecca Guo,,ex FountainVest,,,,,,,,,,,,
,Shanghai,Vice President,Kevin Su,,"Joined M31 in 2018 as ED; was with Ares from 2014-2018. Ex UBS, Oliver Wyman and Intel Corporation",,,,,,,,,,,,
,Shanghai,Vice President,Aaron Huang,,,,,,,,,,,,,,
,Shanghai,Vice President,Ralph Zhang,,,,,,,,,,,,,,
,Shanghai,Analsyt ,Lu Wang,,Joined in 2015. Too junior. Now at CITIC Capital,,,,,,,,,,,,
,Chengdu,Associate,Henry Zhou,Chengdu rep,ex Sichuan government investment bureau,,,,,,,,,,,,
,Chengdu,Associate,Plus one,,,,,,,,,,,,,,
,Hong Kong,Partner,Grace Ge,PE,Joined in 2014. Ex GS and Princesswaterhouse Coopers.,,,,,,,,,,,,
,Hong Kong,MD/Relationship Manager,Bansuk Kim,Business Development,,,,,,,,,,,,,
,Hong Kong,Partner/Head of IR,Sundo Kim ,Business Development,,,,,,,,,,,,,
,Hong Kong,"Executive Director, IR",Meng Zhang,Business Development,Joined 10/15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ascendent,Hong Kong,Director,Minjie Joe Wang,,,,,,,,,,,,,,
,Shanghai,Associate,Rachel Yang Xu,,,,,,,,,,,,,,
,Shanghai,Associate,Patrick Han Zhou,,,,,,,,,,,,,,
,Shanghai,Associate,Marcus Zheng,,,,,,,,,,,,,,
,Shanghai,Analyst,George Haozhe Sun,,,,,,,,,,,,,,
,Shanghai,Analyst,William Yifan Xu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
B Capital,Beijing,Partner,Daisy Cai,,,,,,,,,,,,,,
,Beijing,Senior Principal,Kelly Qiao,,,,,,,,,,,,,,
,Beijing,Principal ,Nicky Xing Lin,,,,,,,,,,,,,,
,Beijing,Principal ,Tyron Deng,,,,,,,,,,,,,,
,Beijing,Associate,Cedric Qi Zhang,,,,,,,,,,,,,,
,Beijing,Associate,Tian Fang,,,,,,,,,,,,,,
,Beijing,Associate,Emily Ning Lang,,,,,,,,,,,,,,
,Beijing,Associate,Miranda Jingfan Sun,,,,,,,,,,,,,,
,Beijing,Associate,Hugh Haizhong Lu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Bain Capital,Hong Kong,Managing Director,Jonathan Jia Zhu,China,Joined in 2006. Ex. MS M & A.,,,,,,,,,,,,
